doc_id,year,agency,doc_type,section_type,section_number,layout_list_number,text,layout_type,layout_type_and_number,page_number,element_number_within_page,row
plans-2023-dhs-equity-action-plan_text_11.p4.4,2023,dhs-equity-action-plan,plans,text,11,NA,"One of the cornerstones of DHS's approach to equity is a strong commitment to stakeholder and community engagement-to understand concerns about barriers faced by members of underserved communities in DHS's programs and to assess the effectiveness of DHS's efforts to address those barriers. Over the past year, DHS hosted engagements specific to the areas of focus in this plan. For example, in August 2022, the Office for Civil Rights and Civil Liberties (CRCL) led a listening session to hear directly from Arab, Middle Eastern, Muslim, and South Asian (AMEMSA) faith-based and community leaders regarding civil rights and civil liberties concerns. The discussion focused on DHS policies and practices, particularly with respect to screening and redress. In February 2023, the Office of Partnership and Engagement (OPE) held a listening session with diverse faith leaders in Dearborn, Michigan to better understand the threat landscape and share DHS information and resources. In June 2023, CRCL led a listening session regarding DHS's use of artificial intelligence (AI) to understand stakeholders' concerns about disparate",Text,Text 11,4,4,14
plans-2023-dhs-equity-action-plan_text_12.p5.0,2023,dhs-equity-action-plan,plans,text,12,NA,"impacts on members of underserved communities. In July 2023, OPE led a Tribal consultation to better understand potential barriers that Tribal Nations and their citizens face, and discuss opportunities for DHS to deliver more equitable outcomes. In conducting these types of engagements, DHS also sought opportunities to consider the input of individuals who belong to two or more underserved communities, who often face greater barriers to equity. DHS will continue to maintain robust engagement with affected communities to inform efforts to deliver more equitable outcomes.",Text,Text 12,5,0,15
plans-2023-dhs-equity-action-plan_text_13.p5.1,2023,dhs-equity-action-plan,plans,text,13,NA,"In examining its equity work enterprise-wide, and for purposes of this plan, DHS has identified nine key program areas to assess potential barriers facing underserved communities and develop strategies to address those barriers:",Text,Text 13,5,1,16
plans-2023-dhs-equity-action-plan_text_14_part_of_layout_list_1.p5.3,2023,dhs-equity-action-plan,plans,text,14,part_of_layout_list_1,"(1) Reduce barriers to citizenship and naturalization through continued evaluation of programs, policies, and outreach opportunities.",Text,Text 14 - part of layout list 1,5,3,17
plans-2023-dhs-equity-action-plan_text_15_part_of_layout_list_1.p5.4,2023,dhs-equity-action-plan,plans,text,15,part_of_layout_list_1,There is a significant gap between the annual naturalization rate and the annual size of the population eligible to naturalize. Commonly cited barriers to naturalization include: a lack of understanding about the naturalization process; a real or perceived inability to meet the English language requirement that is part of the naturalization process; a lack of ability to pay application fees; and a lack of understanding about reduced fees and fee waiver options.,Text,Text 15 - part of layout list 1,5,4,18
plans-2023-dhs-equity-action-plan_text_16_part_of_layout_list_1.p5.5,2023,dhs-equity-action-plan,plans,text,16,part_of_layout_list_1,"To address these barriers, USCIS will strengthen efforts to promote naturalization through citizenship education and outreach, capacity building efforts, and more streamlined naturalization application services.",Text,Text 16 - part of layout list 1,5,5,19
plans-2023-dhs-equity-action-plan_text_17_part_of_layout_list_1.p5.6,2023,dhs-equity-action-plan,plans,text,17,part_of_layout_list_1,(2) Promote equitable use of AI technology across the Department through the development and application of new guidance as well as intra-agency coordination.,Text,Text 17 - part of layout list 1,5,6,20
plans-2023-dhs-equity-action-plan_text_18_part_of_layout_list_1.p5.7,2023,dhs-equity-action-plan,plans,text,18,part_of_layout_list_1,"With increased use of AI in carrying out DHS's homeland security mission, members of underserved communities may face disproportionate or disparate impacts, such as additional scrutiny or denial of benefits based on the potential for algorithms to operate in a manner that exhibits inappropriate biases in violation of law and DHS policy.",Text,Text 18 - part of layout list 1,5,7,21
plans-2023-dhs-equity-action-plan_text_19_part_of_layout_list_1.p5.8,2023,dhs-equity-action-plan,plans,text,19,part_of_layout_list_1,"To address these barriers, DHS will implement Department-wide policy guidance regarding the equitable use and implementation of AI technology and leverage the ongoing work of the Artificial Intelligence Task Force (AITF) and other internal working groups to establish a framework for trustworthy and responsible AI.",Text,Text 19 - part of layout list 1,5,8,22
plans-2023-dhs-equity-action-plan_text_20_part_of_layout_list_1.p5.9,2023,dhs-equity-action-plan,plans,text,20,part_of_layout_list_1,(3) Counter domestic violent extremism (DVE) and targeted violence through a public health-informed approach.,Text,Text 20 - part of layout list 1,5,9,23
plans-2023-dhs-equity-action-plan_text_21_part_of_layout_list_1.p5.10,2023,dhs-equity-action-plan,plans,text,21,part_of_layout_list_1,"As the Department continues to tackle DVE threats, members of certain underserved communities (e.g., AMEMSA, Jewish, LGBTQI+ and Black communities) continue to have concerns about DVE threats that impact their communities.",Text,Text 21 - part of layout list 1,5,10,24
plans-2023-dhs-equity-action-plan_text_22_part_of_layout_list_1.p5.11,2023,dhs-equity-action-plan,plans,text,22,part_of_layout_list_1,"To address these barriers, DHS will build the capacity of prevention professionals, SO that they can better understand and use data-driven information on how underserved communities are often the targets and victims of domestic terrorists;",Text,Text 22 - part of layout list 1,5,11,25
plans-2023-dhs-equity-action-plan_text_23.p6.0,2023,dhs-equity-action-plan,plans,text,23,NA,strengthen the public health-informed approach to targeted violence and terrorism prevention and raise awareness through a public communications strategy; further analyze threats posed to underserved communities; and conduct research to better understand pathways to decrease radicalization and targeted violence in all communities across all recognized violent extremist subcategories.,Text,Text 23,6,0,26
plans-2023-dhs-equity-action-plan_text_24_part_of_layout_list_2.p6.2,2023,dhs-equity-action-plan,plans,text,24,part_of_layout_list_2,(4) Advance equity for persons who are limited English proficient by strengthening language access programs.,Text,Text 24 - part of layout list 2,6,2,27
plans-2023-dhs-equity-action-plan_text_25_part_of_layout_list_2.p6.3,2023,dhs-equity-action-plan,plans,text,25,part_of_layout_list_2,"In carrying out its varied homeland security mission, DHS encounters millions of members of the public every day, many of whom are limited English proficient (LEP) and may experience communication challenges or barriers in accessing DHS programs. Although DHS has language access policies in place, DHS has opportunities to strengthen language access across its programs and activities for persons who are LEP. Many individuals who are LEP are members of underserved communities, including racial and ethnic minority groups, individuals with disabilities, LGBTQI+ persons, and others who face poverty or persecution.",Text,Text 25 - part of layout list 2,6,3,28
plans-2023-dhs-equity-action-plan_text_26_part_of_layout_list_2.p6.4,2023,dhs-equity-action-plan,plans,text,26,part_of_layout_list_2,"To address these barriers, DHS will apply customer experience principles and practices in advancing language access and implement the DHS Language Access Plan, updated in November 2023, and the DHS Indigenous Languages Plan to ensure that the Department's language access programs are effective.",Text,Text 26 - part of layout list 2,6,4,29
plans-2023-dhs-equity-action-plan_text_27_part_of_layout_list_2.p6.5,2023,dhs-equity-action-plan,plans,text,27,part_of_layout_list_2,"(5) Advance equity in DHS's screening activities through updates to training, policy, and procedures.",Text,Text 27 - part of layout list 2,6,5,30
plans-2023-dhs-equity-action-plan_text_28_part_of_layout_list_2.p6.6,2023,dhs-equity-action-plan,plans,text,28,part_of_layout_list_2,"Members of the public, including those from underserved communities (e.g., AMEMSA communities and individuals with disabilities) continue to report concerns regarding their experiences when undergoing screening, including allegations of racial and ethnic profiling and improper treatment of persons with disabilities.",Text,Text 28 - part of layout list 2,6,6,31
plans-2023-dhs-equity-action-plan_text_29_part_of_layout_list_2.p6.7,2023,dhs-equity-action-plan,plans,text,29,part_of_layout_list_2,"To address these barriers, DHS will develop training to enhance knowledge and cultural competency of the Transportation Security Administration (TSA) frontline workforce, and expand and streamline the TSA Passenger Support Specialist program, which provides previously scheduled and on-the-spot assistance to travelers who need assistance; develop a U.S. Customs and Border Protection (CBP) directive to define the roles and responsibilities of CBP offices and personnel and provide religious accommodations for members of the public during CBP-conducted services, programs, and activities; and assess and propose updates to the Department's nondiscrimination policies for external activities.",Text,Text 29 - part of layout list 2,6,7,32
plans-2023-dhs-equity-action-plan_text_30_part_of_layout_list_2.p6.8,2023,dhs-equity-action-plan,plans,text,30,part_of_layout_list_2,(6) Advance equity for the 574 federally recognized Tribal Nations and their citizens by ensuring appropriate Tribal consideration and representation in the Department's work.,Text,Text 30 - part of layout list 2,6,8,33
plans-2023-dhs-equity-action-plan_text_31_part_of_layout_list_2.p6.9,2023,dhs-equity-action-plan,plans,text,31,part_of_layout_list_2,"During consultations, Tribal Nations have reported equity concerns about inaccessibility and unfairness of grant and contract opportunities, screening and handling of sacred items, lack of DHS staff and other resources dedicated to fulfilling DHS responsibilities to the Tribal Nations, lack of representation on some",Text,Text 31 - part of layout list 2,6,9,34
plans-2023-dhs-equity-action-plan_text_32_part_of_layout_list_3.p7.1,2023,dhs-equity-action-plan,plans,text,32,part_of_layout_list_3,"advisory councils and committees, and uncertainty that DHS would pursue modifications to unfair practices that might require legislative fixes.",Text,Text 32 - part of layout list 3,7,1,35
plans-2023-dhs-equity-action-plan_text_33_part_of_layout_list_3.p7.2,2023,dhs-equity-action-plan,plans,text,33,part_of_layout_list_3,"To address these barriers, DHS will conduct a review of contract opportunities and grant funding opportunity announcements prior to release to determine how equitable access for tribes can be furthered; examine policy and procedures to identify updates in furtherance of security and the appropriate handling of sacred, ceremonial, or cultural items and conduct training on the same; pursue adequate staffing and other resources where needed to ensure equitable service delivery; ensure Tribal representation in DHS advisory councils, committees, and other groups; and pursue modifications to service delivery, including where legislative fixes are needed.",Text,Text 33 - part of layout list 3,7,2,36
plans-2023-dhs-equity-action-plan_text_34_part_of_layout_list_3.p7.3,2023,dhs-equity-action-plan,plans,text,34,part_of_layout_list_3,(7) Advance equity for persons seeking humanitarian protection during immigration processing by strengthening programs available to assist them.,Text,Text 34 - part of layout list 3,7,3,37
plans-2023-dhs-equity-action-plan_text_35_part_of_layout_list_3.p7.4,2023,dhs-equity-action-plan,plans,text,35,part_of_layout_list_3,Stakeholders continue to report concerns about processing delays and access to resources.,Text,Text 35 - part of layout list 3,7,4,38
plans-2023-dhs-equity-action-plan_text_36_part_of_layout_list_3.p7.5,2023,dhs-equity-action-plan,plans,text,36,part_of_layout_list_3,"To address these barriers, USCIS will enhance processing efficiency by leveraging technology, increasing access, and seeking opportunities to reduce fees; and DHS will strengthen resources for non-detained noncitizens released on an alternative to detention program and create process efficiencies across the board.",Text,Text 36 - part of layout list 3,7,5,39
plans-2023-dhs-equity-action-plan_text_37_part_of_layout_list_3.p7.6,2023,dhs-equity-action-plan,plans,text,37,part_of_layout_list_3,(8) Advance equity in the FEMA Individual Assistance (IA) program to increase participation of undeserved communities.,Text,Text 37 - part of layout list 3,7,6,40
plans-2023-dhs-equity-action-plan_text_38_part_of_layout_list_3.p7.7,2023,dhs-equity-action-plan,plans,text,38,part_of_layout_list_3,"In response to FEMA's 2021 Request for Information (RFI) on FEMA Programs, Regulations, and Policies and associated public meetings, members of the public suggested changes to the IA program. All relevant comments received in response to the RFI, including those received during the public meetings, have been posted to the public rulemaking docket on the Federal eRulemaking portal.",Text,Text 38 - part of layout list 3,7,7,41
plans-2023-dhs-equity-action-plan_text_39_part_of_layout_list_3.p7.8,2023,dhs-equity-action-plan,plans,text,39,part_of_layout_list_3,"To address barriers and suggested changes raised by stakeholders, FEMA will publish an Interim Final Rule (IFR) amending its regulations governing the IA program to increase equity by simplifying processes, removing barriers to entry, and increasing eligibility for certain types of assistance under the program.",Text,Text 39 - part of layout list 3,7,8,42
plans-2023-dhs-equity-action-plan_text_40_part_of_layout_list_3.p7.9,2023,dhs-equity-action-plan,plans,text,40,part_of_layout_list_3,(9) Advance equity through Community Disaster Resilience Zones.,Text,Text 40 - part of layout list 3,7,9,43
plans-2023-dhs-equity-action-plan_text_41_part_of_layout_list_3.p7.10,2023,dhs-equity-action-plan,plans,text,41,part_of_layout_list_3,"FEMA's National Advisory Council has found that smaller, less affluent communities with fewer resources cannot access funding to appropriately prepare for a disaster, which leads to inadequate response and recovery and little opportunity for mitigation.",Text,Text 41 - part of layout list 3,7,10,44
plans-2023-dhs-equity-action-plan_text_42_part_of_layout_list_3.p7.11,2023,dhs-equity-action-plan,plans,text,42,part_of_layout_list_3,"To address this barrier, FEMA will enhance and expand Building Resilient Infrastructure and Communities (BRIC) Program technical assistance; implement Benefit-Cost Analysis (BCA) enhancements for all relevant mitigation programs, including incorporating equity weights into BCA; and develop a Recovery and Resilience Resource Portal, which provides ideas and information on available funding opportunities for state, local, Tribal, and territorial (SLTT) partners and community decision-makers.",Text,Text 42 - part of layout list 3,7,11,45
plans-2023-dhs-equity-action-plan_text_43.p8.0,2023,dhs-equity-action-plan,plans,text,43,NA,"In developing these key program areas, DHS considered concerns and other input raised by community stakeholders and members of the public during stakeholder engagements in addition to examining applicable quantitative data and reviewing relevant literature. As previously stated, sustained stakeholder engagement has been, and will continue to be, a cornerstone of the Department's equity work going forward.",Text,Text 43,8,0,46
plans-2023-dhs-equity-action-plan_section_header_3.p8.1,2023,dhs-equity-action-plan,plans,section-header,3,NA,III. Equity Progress Update and Accomplishments,Section header,Section header 3,8,1,47
plans-2023-dhs-equity-action-plan_text_44.p8.2,2023,dhs-equity-action-plan,plans,text,44,NA,A. 2022 Equity Action Plan Update (pursuant to EO 13985),Text,Text 44,8,2,48
plans-2023-dhs-equity-action-plan_text_45.p8.3,2023,dhs-equity-action-plan,plans,text,45,NA,"Since the release of the inaugural DHS Equity Action Plan in 2022, program offices across the Department have been working to deliver on the commitments set forth in each of the plan's seven program areas of focus. FEMA has been working to fulfill the promises set forth in the FEMA Equity Action Plan; these accomplishments are reflected in this overall DHS report. Key accomplishments in each program area are outlined below.",Text,Text 45,8,3,49
plans-2023-dhs-equity-action-plan_text_46_part_of_layout_list_4.p8.5,2023,dhs-equity-action-plan,plans,text,46,part_of_layout_list_4,"1. Applying for Naturalization. USCIS began a comprehensive review of policies, regulations, forms, and operations to identify barriers that may impede access to naturalization by underserved communities and is undertaking efforts to reduce or eliminate those barriers.",Text,Text 46 - part of layout list 4,8,5,50
plans-2023-dhs-equity-action-plan_text_47_part_of_layout_list_4.p8.6,2023,dhs-equity-action-plan,plans,text,47,part_of_layout_list_4,"In October 2022, USCIS updated Form N-648 (Medical Certification for Disability Exceptions) and related Policy Manual guidance. Applicants for naturalization with physical or developmental disability or mental impairments may request an exception to the English and civics testing requirements for naturalization. This form and Policy Manual update streamline the process for applicants to claim and substantiate a disability by eliminating unnecessary and duplicative questions.",Text,Text 47 - part of layout list 4,8,6,51
plans-2023-dhs-equity-action-plan_text_48_part_of_layout_list_4.p8.7,2023,dhs-equity-action-plan,plans,text,48,part_of_layout_list_4,"In March 2023, USCIS updated Policy Manual guidance to allow individuals requesting immigration benefits to self-select their gender marker (""""Male"""" or """"Female"""") without the need to provide proof of their gender identity or to match the gender listed on their supporting documentation. This update reflects an important step toward reducing administrative burdens on applicants and increasing accessibility to immigration benefits and services.",Text,Text 48 - part of layout list 4,8,7,52
plans-2023-dhs-equity-action-plan_text_49_part_of_layout_list_4.p8.8,2023,dhs-equity-action-plan,plans,text,49,part_of_layout_list_4,2. Accessing Humanitarian Protection During Immigration Processing. DHS improved access to humanitarian protection during immigration processing by addressing language and disability access gaps and enhancing access to legal information and resources.,Text,Text 49 - part of layout list 4,8,8,53
plans-2023-dhs-equity-action-plan_text_50_part_of_layout_list_4.p8.9,2023,dhs-equity-action-plan,plans,text,50,part_of_layout_list_4,"In July 2022, USCIS issued new language access guidance to ensure that LEP individuals seeking asylum who cannot be interviewed in the credible fear screening process are placed into removal proceedings where an immigration judge can apply appropriate language access safeguards as that individual seeks relief.",Text,Text 50 - part of layout list 4,8,9,54
plans-2023-dhs-equity-action-plan_text_51_part_of_layout_list_4.p8.10,2023,dhs-equity-action-plan,plans,text,51,part_of_layout_list_4,"The USCIS Language Services Branch (LSB) has prioritized reaching the most vulnerable populations, including victims of trafficking, in their languages and in a culturally appropriate manner. This work, which spanned two fiscal years and involved multiple language specialists, resulted in approximately 1,000 pages of translation. Additionally, in close collaboration with the Asylum Division and the",Text,Text 51 - part of layout list 4,8,10,55
plans-2023-dhs-equity-action-plan_text_52.p9.0,2023,dhs-equity-action-plan,plans,text,52,NA,"Office of Policy and Strategy, LSB has translated the instructions of the Form I- 589 (Application for Asylum and for Withholding of Removal) into Arabic, Spanish, Haitian Creole, Portuguese, and Mandarin for language access use by ICE with detained individuals. 1",Text,Text 52,9,0,56
plans-2023-dhs-equity-action-plan_text_53_part_of_layout_list_5.p9.2,2023,dhs-equity-action-plan,plans,text,53,part_of_layout_list_5,"In May 2022, CBP implemented an online training course titled """"Disability Access Training for Law Enforcement Professionals"""" to educate uniformed officers and agents about their roles and responsibilities for ensuring nondiscrimination in CBP- conducted services, programs, and activities for members of the public with disabilities. CBP's uniformed officers and agents will be required to complete the training on a biennial basis.",Text,Text 53 - part of layout list 5,9,2,57
plans-2023-dhs-equity-action-plan_text_54_part_of_layout_list_5.p9.3,2023,dhs-equity-action-plan,plans,text,54,part_of_layout_list_5,"In January 2023, DHS announced a streamlined process for noncitizens in labor agency investigations to request deferred action consistent with Policy Statement 065-06, Worksite Enforcement: The Strategy to Protect the American Labor Market, the Conditions of the American Worksite, and the Dignity of the Individual. Deferred action protects noncitizen workers from threats of immigration-related retaliation from exploitative employers. These improvements advance the Biden- Harris Administration's commitment to empowering workers and improving workplace conditions by enabling all workers, including noncitizens, to assert their legal rights.",Text,Text 54 - part of layout list 5,9,3,58
plans-2023-dhs-equity-action-plan_text_55_part_of_layout_list_5.p9.4,2023,dhs-equity-action-plan,plans,text,55,part_of_layout_list_5,"3. Bidding on a DHS Contract. DHS strengthened efforts to engage small businesses, including those owned by members of underserved communities such as women, minorities, and individuals with disabilities, through various outreach activities.",Text,Text 55 - part of layout list 5,9,4,59
plans-2023-dhs-equity-action-plan_text_56_part_of_layout_list_5.p9.5,2023,dhs-equity-action-plan,plans,text,56,part_of_layout_list_5,"In Fiscal Year (FY) 2022, DHS exceeded all small business prime and socioeconomic goals as negotiated with the Small Business Administration, equating to $9 billion awarded to small businesses, including $4 billion to small, disadvantaged businesses. DHS is the largest spending agency to have this level of goal achievement.",Text,Text 56 - part of layout list 5,9,5,60
plans-2023-dhs-equity-action-plan_text_57_part_of_layout_list_5.p9.6,2023,dhs-equity-action-plan,plans,text,57,part_of_layout_list_5,"In FY 2022, the DHS Office of Small and Disadvantaged Business Utilization (OSDBU) launched Small-to-Small Business Vendor Outreach Matchmaking Events (VOMEs), facilitating business-to-business meetings to encourage new entrants, explore subcontracting and teaming opportunities, and assist with decreasing gaps in small business capabilities. The VOME is another federal best practice and a first for federal OSDBU offices. Three VOMEs were held in FY 2022, garnering 1,100 registrants and nearly 800 meetings. Three VOMEs were also held in FY 2023, resulting in over 1,500 small business registrations and over 500 meetings.",Text,Text 57 - part of layout list 5,9,6,61
plans-2023-dhs-equity-action-plan_text_58_part_of_layout_list_5.p9.7,2023,dhs-equity-action-plan,plans,text,58,part_of_layout_list_5,"In FY 2023, OSDBU has hosted 10 Vendor Outreach Sessions to include four specifically reserved for underserved groups (e.g., service-disabled veteran-owned, women-owned, and HUBZone firms).",Text,Text 58 - part of layout list 5,9,7,62
plans-2023-dhs-equity-action-plan_text_59_part_of_layout_list_5.p9.8,2023,dhs-equity-action-plan,plans,text,59,part_of_layout_list_5,4. Countering Domestic Violent Extremism and Targeted Violence. DHS augmented efforts to address DVE and targeted violence by enhancing programs that empower,Text,Text 59 - part of layout list 5,9,8,63
plans-2023-dhs-equity-action-plan_text_60.p10.0,2023,dhs-equity-action-plan,plans,text,60,NA,"communities to prevent targeted violence and terrorism, build resilience among communities, and improve the efficiency and effectiveness of ongoing DVE programs.",Text,Text 60,10,0,64
plans-2023-dhs-equity-action-plan_text_61_part_of_layout_list_6.p10.2,2023,dhs-equity-action-plan,plans,text,61,part_of_layout_list_6,"The DHS Center for Prevention Programs and Partnerships (CP3) conducted targeted outreach to additional local and underserved communities, providing technical assistance and support to those stakeholders. The Targeted Violence and Terrorism Prevention (TVTP) Grant Program provides funding for state, local, Tribal, and territorial governments, nonprofits, and institutions of higher education to establish or enhance capabilities to prevent targeted violence and terrorism. In FY 2022, CP3 reached 49 new organizations and over 900 people, resulting in 31 applications from, and 11 awards to, organizations representing underserved communities.",Text,Text 61 - part of layout list 6,10,2,65
plans-2023-dhs-equity-action-plan_text_62_part_of_layout_list_6.p10.3,2023,dhs-equity-action-plan,plans,text,62,part_of_layout_list_6,"In response to a wave of bomb threats targeting Historically Black Colleges and Universities (HBCUs) in 2022, the Cybersecurity and Infrastructure Security Agency (CISA) Office for Bombing Prevention (OBP) conducted 27 courses for HBCU students and faculty in prevention and building resilience, trained more than 1,200 participants, delivered over 1,500 products, and saw a 54 percent increase in the more than 24,000 training video completions. Additional courses are ongoing.",Text,Text 62 - part of layout list 6,10,3,66
plans-2023-dhs-equity-action-plan_text_63_part_of_layout_list_6.p10.4,2023,dhs-equity-action-plan,plans,text,63,part_of_layout_list_6,"In 2022, CRCL, the DHS Office of State and Local Law Enforcement (OSLLE), and the White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity through HBCUs, sponsored full-day courses at five HBCUs to help equip campus leaders and other community stakeholders with the problem- solving skills to prevent, protect, and mitigate the effects of, respond to, and recover from active shooter situations.",Text,Text 63 - part of layout list 6,10,4,67
plans-2023-dhs-equity-action-plan_text_64_part_of_layout_list_6.p10.5,2023,dhs-equity-action-plan,plans,text,64,part_of_layout_list_6,"Since July 2022, DHS has led multiple engagements focused on addressing community concerns related to DVE, Department strategy, and incidents of hate targeting specific communities. In April 2023, OPE hosted a virtual Ramadan engagement with American Muslim community leaders to solicit their feedback, concerns, and insights on DHS policies and programs.",Text,Text 64 - part of layout list 6,10,5,68
plans-2023-dhs-equity-action-plan_text_65_part_of_layout_list_6.p10.6,2023,dhs-equity-action-plan,plans,text,65,part_of_layout_list_6,"In March 2023, DHS launched the Prevention Resource Finder, providing stakeholders with information on the resources needed to help prepare for and prevent targeted violence and terrorism across our country.",Text,Text 65 - part of layout list 6,10,6,69
